#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"WSMan operation Enumeration failed, error code 2150858770","142","0",,"2","10","2","4611686018427387906","2508","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","3880","10284","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:17:09 PM","8d3787ce-4b7c-0007-691b-8a8d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Stop","Response handling","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The client cannot connect to the destination specified in the request. Verify that the service on the destination is running and is accepting requests. Consult the logs and documentation for the WS-Management service running on the destination, most commonly IIS or WinRM. If the destination is the WinRM service, run the following command on the destination to analyze and configure the WinRM service: ""winrm quickconfig"".","161","0",,"2","7","0","4611686018427387914","2507","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","3880","15860","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:17:09 PM","8d3787ce-4b7c-0000-8351-c18d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info","User authentication","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Activity Transfer","254","0",,"4","0","0","4611686018427387942","2506","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","3880","15860","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:17:09 PM","8d3787ce-4b7c-0000-8351-c18d7c4bdb01","8d3787ce-4b7c-0007-691b-8a8d7c4bdb01","Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"WSMan operation Enumeration started with resourceUri http://schemas.microsoft.com/wbem/wsman/1/config/listener","145","0",,"4","5","1","4611686018427387906","2505","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","3880","16816","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 10:17:05 PM","8d3787ce-4b7c-0007-691b-8a8d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","WSMan API call","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"WSMan operation Enumeration failed, error code 2150858770","142","0",,"2","10","2","4611686018427387906","2504","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","2320","18300","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:33:24 PM","8d3787ce-4b7c-0002-817c-d28d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Stop","Response handling","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The client cannot connect to the destination specified in the request. Verify that the service on the destination is running and is accepting requests. Consult the logs and documentation for the WS-Management service running on the destination, most commonly IIS or WinRM. If the destination is the WinRM service, run the following command on the destination to analyze and configure the WinRM service: ""winrm quickconfig"".","161","0",,"2","7","0","4611686018427387914","2503","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","2320","12596","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:33:24 PM","8d3787ce-4b7c-0001-28a1-918d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info","User authentication","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Activity Transfer","254","0",,"4","0","0","4611686018427387942","2502","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","2320","12596","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:33:24 PM","8d3787ce-4b7c-0001-28a1-918d7c4bdb01","8d3787ce-4b7c-0002-817c-d28d7c4bdb01","Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"WSMan operation Enumeration started with resourceUri http://schemas.microsoft.com/wbem/wsman/1/config/listener","145","0",,"4","5","1","4611686018427387906","2501","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","2320","18412","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 7:33:20 PM","8d3787ce-4b7c-0002-817c-d28d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","WSMan API call","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"WSMan operation Enumeration failed, error code 2150858770","142","0",,"2","10","2","4611686018427387906","2500","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","10368","14672","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 6:19:13 PM","8d3787ce-4b7c-0006-a575-9b8d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Stop","Response handling","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The client cannot connect to the destination specified in the request. Verify that the service on the destination is running and is accepting requests. Consult the logs and documentation for the WS-Management service running on the destination, most commonly IIS or WinRM. If the destination is the WinRM service, run the following command on the destination to analyze and configure the WinRM service: ""winrm quickconfig"".","161","0",,"2","7","0","4611686018427387914","2499","Microsoft-Windows-WinRM","a7975c8f-ac13-49f1-87da-5a984a4ab417","Microsoft-Windows-WinRM/Operational","10368","14992","DESKTOP-3HO80GL","S-1-5-18","12/13/2024 6:19:13 PM","8d3787ce-4b7c-0000-0223-b68d7c4bdb01",,"Microsoft-Windows-WinRM/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info","User authentication","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
