#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=0e14830d-2b71-477e-977c-ae3aa327bff4
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.22621.4391
	RunspaceId=cc799a33-e2ed-472e-a412-bdb49b4cb241
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400","0","0","4","4","0","36028797018963968","1010","PowerShell",,"Windows PowerShell","13360","0","DESKTOP-3HO80GL",,"12/13/2024 10:54:54 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Engine Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=0e14830d-2b71-477e-977c-ae3aa327bff4
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1009","PowerShell",,"Windows PowerShell","13360","0","DESKTOP-3HO80GL",,"12/13/2024 10:54:54 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=0e14830d-2b71-477e-977c-ae3aa327bff4
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1008","PowerShell",,"Windows PowerShell","13360","0","DESKTOP-3HO80GL",,"12/13/2024 10:54:54 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=0e14830d-2b71-477e-977c-ae3aa327bff4
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1007","PowerShell",,"Windows PowerShell","13360","0","DESKTOP-3HO80GL",,"12/13/2024 10:54:54 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=0e14830d-2b71-477e-977c-ae3aa327bff4
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1006","PowerShell",,"Windows PowerShell","13360","0","DESKTOP-3HO80GL",,"12/13/2024 10:54:54 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=0e14830d-2b71-477e-977c-ae3aa327bff4
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1005","PowerShell",,"Windows PowerShell","13360","0","DESKTOP-3HO80GL",,"12/13/2024 10:54:54 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=0e14830d-2b71-477e-977c-ae3aa327bff4
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1004","PowerShell",,"Windows PowerShell","13360","0","DESKTOP-3HO80GL",,"12/13/2024 10:54:54 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9c1a3208-4078-49fe-852b-170fb75bf51e
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.22621.4391
	RunspaceId=8c607e00-df59-4deb-b606-64eb37a7a516
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","400","0","0","4","4","0","36028797018963968","1003","PowerShell",,"Windows PowerShell","7612","0","DESKTOP-3HO80GL",,"12/13/2024 10:43:45 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Engine Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9c1a3208-4078-49fe-852b-170fb75bf51e
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1002","PowerShell",,"Windows PowerShell","7612","0","DESKTOP-3HO80GL",,"12/13/2024 10:43:45 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.22621.4391
	HostId=9c1a3208-4078-49fe-852b-170fb75bf51e
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","600","0","0","4","6","0","36028797018963968","1001","PowerShell",,"Windows PowerShell","7612","0","DESKTOP-3HO80GL",,"12/13/2024 10:43:45 PM",,,"Windows PowerShell","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Provider Lifecycle","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
